"ABI" "Curso" "Turno" "Materia" "Conceito" "CPFEncrypted" "Posmateria" "StatusFinal" "TempoPermanencia"
"1" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "MM" "196" -4 "NÃO FORMATURA" 3
"2" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "MS" "196" 1 "NÃO FORMATURA" 3
"3" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "MM" "196" -5 "NÃO FORMATURA" 3
"4" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "Inconcluído" "196" 3 "NÃO FORMATURA" 3
"5" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "PROBABILIDADE E ESTATISTICA" "MM" "196" -4 "NÃO FORMATURA" 3
"6" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "MM" "196" -1 "NÃO FORMATURA" 3
"7" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "METODOS ESTATISTICOS 1" "MM" "196" 2 "NÃO FORMATURA" 3
"8" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "MM" "196" 1 "NÃO FORMATURA" 3
"9" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "Inconcluído" "196" 2 "NÃO FORMATURA" 3
"10" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 1" "MS" "196" 1 "NÃO FORMATURA" 3
"11" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "MM" "196" -2 "NÃO FORMATURA" 3
"12" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "Inconcluído" "651" 10 "FORMATURA" 14
"13" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 2" "MM" "651" 13 "FORMATURA" 14
"14" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "TECNICAS DE AMOSTRAGEM" "MM" "651" 12 "FORMATURA" 14
"15" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "PLANEJAMENTO E PESQUISA 1" "MM" "651" 12 "FORMATURA" 14
"16" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 1" "MM" "651" 7 "FORMATURA" 14
"17" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 2" "Inconcluído" "651" 9 "FORMATURA" 14
"18" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 1" "SS" "651" 13 "FORMATURA" 14
"19" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CONTROLE ESTATISTICO DE QUALIDADE" "MM" "651" 14 "FORMATURA" 14
"20" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "DEMOGRAFIA" "MM" "651" 6 "FORMATURA" 14
"21" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "Inconcluído" "651" 5 "FORMATURA" 14
"22" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "MM" "651" 13 "FORMATURA" 14
"23" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTAGIO SUPERVISIONADO EM ESTATISTICA 2" "SS" "651" 14 "FORMATURA" 14
"24" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ANALISE MULTIVARIADA 1" "MM" "651" 12 "FORMATURA" 14
"25" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO NUMERICO" "MM" "651" 7 "FORMATURA" 14
"26" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "APLICACOES DA ESTATISTICA 1" "MM" "651" 14 "FORMATURA" 14
"27" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "MM" "651" 6 "FORMATURA" 14
"28" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 2" "MM" "651" 2 "FORMATURA" 14
"29" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A PROBABILIDADE" "MM" "651" 3 "FORMATURA" 14
"30" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "MM" "651" 11 "FORMATURA" 14
"31" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "APLICACOES DA ESTATISTICA 1" "Inconcluído" "651" 13 "FORMATURA" 14
"32" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "MM" "651" 4 "FORMATURA" 14
"33" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "Inconcluído" "651" 8 "FORMATURA" 14
"34" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "METODOS ESTATISTICOS 1" "MM" "651" 4 "FORMATURA" 14
"35" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "Inconcluído" "651" 1 "FORMATURA" 14
"36" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "MM" "651" 2 "FORMATURA" 14
"37" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "Inconcluído" "651" 9 "FORMATURA" 14
"38" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "EQUACOES DIFERENCIAIS 1" "Inconcluído" "651" 5 "FORMATURA" 14
"39" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "Inconcluído" "651" 3 "FORMATURA" 14
"40" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "Inconcluído" "651" 5 "FORMATURA" 14
"41" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "MM" "651" 3 "FORMATURA" 14
"42" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO DE PROBABILIDADE 2" "Inconcluído" "651" 11 "FORMATURA" 14
"43" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INFERENCIA ESTATISTICA" "Inconcluído" "651" 8 "FORMATURA" 14
"44" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "Inconcluído" "651" 2 "FORMATURA" 14
"45" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 1" "MS" "651" 1 "FORMATURA" 14
"46" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "Inconcluído" "120" 1 "NÃO FORMATURA" 5
"47" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 2" "SS" "120" 2 "NÃO FORMATURA" 5
"48" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "ESTATISTICA EXPLORATORIA 1" "MS" "120" 1 "NÃO FORMATURA" 5
"49" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A ALGEBRA LINEAR" "CC" "120" -10 "NÃO FORMATURA" 5
"50" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A PROBABILIDADE" "MM" "120" 2 "NÃO FORMATURA" 5
"51" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 3" "Inconcluído" "120" 2 "NÃO FORMATURA" 5
"52" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "INTRODUCAO A PROBABILIDADE" "Inconcluído" "120" 1 "NÃO FORMATURA" 5
"53" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 1" "CC" "120" -10 "NÃO FORMATURA" 5
"54" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "CALCULO 2" "MM" "120" -10 "NÃO FORMATURA" 5
"55" "ESTATISTICA" "BACHARELADO EM ESTATISTICA" "Diurno" "DEMOGRAFIA" "MM" "661" 4 "NÃO FORMATURA" 10
